fare_id,route_id,origin_id,destination_id,contains_id
68,,11,23,
65,,12,23,
61,,13,23,
61,,14,23,
59,,15,23,
55,,16,23,
52,,17,23,
52,,18,23,
52,,19,23,
44,,20,23,
35,,21,23,
35,,22,23,
104,,23,23,
35,,24,23,
35,,25,23,
35,,26,23,
35,,27,23,
35,,28,23,
35,,29,23,
102,,30,23,
93,,31,23,
94,,32,23,
89,,33,23,
82,,34,23,
79,,35,23,
73,,36,23,
66,,37,23,
56,,38,23,
55,,39,23,
86,,40,23,
86,,41,23,
86,,42,23,
86,,43,23,
87,,44,23,
88,,45,23,
91,,46,23,
92,,47,23,
95,,48,23,
103,,5,24,
107,,6,24,
191,,7,24,
113,,8,24,
64,,49,24,
77,,10,24,
73,,11,24,
70,,12,24,
67,,13,24,
65,,14,24,
64,,15,24,
62,,16,24,
60,,17,24,
60,,18,24,
60,,19,24,
52,,20,24,
46,,21,24,
35,,22,24,
35,,23,24,
104,,24,24,
35,,25,24,
35,,26,24,
35,,27,24,
35,,28,24,
67,,29,24,
107,,30,24,
98,,31,24,
99,,32,24,
94,,33,24,
87,,34,24,
84,,35,24,
78,,36,24,
71,,37,24,
62,,38,24,
62,,39,24,
91,,40,24,
91,,41,24,
91,,42,24,
91,,43,24,
93,,44,24,
94,,45,24,
96,,46,24,
98,,47,24,
100,,48,24,
108,,5,25,
113,,6,25,
196,,7,25,
119,,8,25,
70,,49,25,
82,,10,25,
78,,11,25,
75,,12,25,
72,,13,25,
71,,14,25,
69,,15,25,
67,,16,25,
65,,17,25,
65,,18,25,
65,,19,25,
60,,20,25,
54,,21,25,
46,,22,25,
35,,23,25,
35,,24,25,
104,,25,25,
35,,26,25,
35,,27,25,
47,,28,25,
73,,29,25,
113,,30,25,
103,,31,25,
105,,32,25,
100,,33,25,
92,,34,25,
90,,35,25,
83,,36,25,
76,,37,25,
67,,38,25,
67,,39,25,
97,,40,25,
97,,41,25,
97,,42,25,
97,,43,25,
98,,44,25,
99,,45,25,
102,,46,25,
103,,47,25,
105,,48,25,
117,,5,26,
121,,6,26,
205,,7,26,
127,,8,26,
78,,49,26,
91,,10,26,
87,,11,26,
84,,12,26,
81,,13,26,
80,,14,26,
78,,15,26,
76,,16,26,
74,,17,26,
74,,18,26,
74,,19,26,
69,,20,26,
66,,21,26,
59,,22,26,
35,,23,26,
35,,24,26,
35,,25,26,
104,,26,26,
35,,27,26,
60,,28,26,
81,,29,26,
122,,30,26,
112,,31,26,
113,,32,26,
109,,33,26,
101,,34,26,
99,,35,26,
92,,36,26,
85,,37,26,
76,,38,26,
76,,39,26,
105,,40,26,
105,,41,26,
105,,42,26,
105,,43,26,
107,,44,26,
108,,45,26,
110,,46,26,
112,,47,26,
114,,48,26,
123,,5,27,
128,,6,27,
211,,7,27,
134,,8,27,
84,,49,27,
97,,10,27,
93,,11,27,
90,,12,27,
87,,13,27,
86,,14,27,
84,,15,27,
82,,16,27,
80,,17,27,
80,,18,27,
80,,19,27,
75,,20,27,
72,,21,27,
67,,22,27,
35,,23,27,
35,,24,27,
35,,25,27,
35,,26,27,
104,,27,27,
68,,28,27,
87,,29,27,
128,,30,27,
118,,31,27,
120,,32,27,
115,,33,27,
107,,34,27,
105,,35,27,
98,,36,27,
91,,37,27,
82,,38,27,
82,,39,27,
112,,40,27,
112,,41,27,
112,,42,27,
112,,43,27,
113,,44,27,
114,,45,27,
117,,46,27,
118,,47,27,
120,,48,27,
103,,5,28,
107,,6,28,
191,,7,28,
113,,8,28,
35,,49,28,
77,,10,28,
73,,11,28,
70,,12,28,
66,,13,28,
66,,14,28,
64,,15,28,
62,,16,28,
60,,17,28,
60,,18,28,
60,,19,28,
52,,20,28,
46,,21,28,
35,,22,28,
35,,23,28,
35,,24,28,
47,,25,28,
60,,26,28,
68,,27,28,
104,,28,28,
35,,29,28,
107,,30,28,
98,,31,28,
99,,32,28,
94,,33,28,
87,,34,28,
84,,35,28,
78,,36,28,
71,,37,28,
62,,38,28,
62,,39,28,
91,,40,28,
91,,41,28,
91,,42,28,
91,,43,28,
92,,44,28,
93,,45,28,
96,,46,28,
97,,47,28,
100,,48,28,
123,,5,29,
127,,6,29,
211,,7,29,
133,,8,29,
35,,49,29,
97,,10,29,
93,,11,29,
90,,12,29,
86,,13,29,
86,,14,29,
84,,15,29,
82,,16,29,
80,,17,29,
80,,18,29,
80,,19,29,
75,,20,29,
72,,21,29,
66,,22,29,
35,,23,29,
67,,24,29,
73,,25,29,
81,,26,29,
87,,27,29,
35,,28,29,
104,,29,29,
127,,30,29,
118,,31,29,
119,,32,29,
114,,33,29,
107,,34,29,
104,,35,29,
98,,36,29,
91,,37,29,
82,,38,29,
82,,39,29,
111,,40,29,
111,,41,29,
111,,42,29,
111,,43,29,
112,,44,29,
113,,45,29,
116,,46,29,
117,,47,29,
120,,48,29,
130,,5,30,
135,,6,30,
218,,7,30,
141,,8,30,
124,,49,30,
98,,10,30,
94,,11,30,
91,,12,30,
88,,13,30,
87,,14,30,
86,,15,30,
86,,16,30,
86,,17,30,
86,,18,30,
86,,19,30,
89,,20,30,
93,,21,30,
98,,22,30,
102,,23,30,
107,,24,30,
113,,25,30,
122,,26,30,
128,,27,30,
107,,28,30,
127,,29,30,
104,,30,30,
35,,31,30,
127,,32,30,
35,,33,30,
35,,34,30,
35,,35,30,
67,,36,30,
73,,37,30,
83,,38,30,
89,,39,30,
119,,40,30,
119,,41,30,
119,,42,30,
119,,43,30,
120,,44,30,
121,,45,30,
124,,46,30,
