stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
65510,,119TH AVE SE & SE 56TH ST,,47.5531654,-122.178864,19,,,
65520,,119TH AVE SE & SE 52ND ST,,47.5563927,-122.179832,19,,,
65530,,119TH AVE SE & SE 49TH PL,,47.5596771,-122.180542,19,,,
65540,,119TH AVE SE & SE 47TH ST,,47.5612717,-122.180573,19,,,
65550,,119TH AVE SE & LAKE HGTS ST,,47.5655746,-122.180901,19,,,
65560,,119TH AVE SE & COAL CREEK PKWY SE,,47.5667725,-122.179344,19,,,
65570,,119TH AVE SE & COAL CREEK PKWY SE,,47.566864,-122.180138,19,,,
65580,,119TH AVE SE & LAKE HGTS ST,,47.5654984,-122.181061,19,,,
65590,,119TH AVE SE & SE 47TH ST,,47.5625572,-122.181053,19,,,
65600,,119TH AVE SE & SE 49TH PL,,47.5595856,-122.180748,19,,,
65610,,119TH AVE SE & SE 52ND ST,,47.5562592,-122.179985,19,,,
65620,,119TH AVE SE & SE 54TH PL,,47.553318,-122.179085,19,,,
65630,,119TH AVE SE & SE 58TH ST,,47.55159,-122.179245,19,,,
65640,,SE 60TH ST & 119TH AVE SE,,47.5497513,-122.178658,19,,,
65652,,123RD AVE SE & SE 60TH ST,,47.5493889,-122.175789,19,,,
65660,,123RD AVE SE & SE 61ST ST,,47.5479088,-122.175819,19,,,
65670,,123RD AVE SE & SE 64TH PL,,47.5449944,-122.175888,19,,,
65680,,123RD AVE SE & SE 65TH PL,,47.5435562,-122.175903,19,,,
65700,,123RD AVE SE & NEWCASTLE WAY,,47.5413437,-122.177132,19,,,
65710,,NEWCASTLE WAY & 123RD AVE SE,,47.5409279,-122.175842,19,,,
65720,,NEWCASTLE WAY & 125TH AVE SE,,47.5408745,-122.174004,19,,,
65740,,NEWCASTLE WAY & 129TH AVE SE,,47.5379066,-122.167229,19,,,
66220,,100TH AVE NE & MAIN ST,,47.6105003,-122.206734,19,,,
66700,,NE 24TH ST & 162ND AVE NE,,47.6313248,-122.123581,19,,,
66710,,164TH AVE NE & NE 24TH ST,,47.6308784,-122.121765,19,,,
66730,,164TH AVE NE & NE 20TH ST,,47.6277962,-122.121201,19,,,
66740,,164TH AVE NE & NE 18TH ST,,47.6256409,-122.12178,19,,,
66750,,164TH AVE NE & NORTHUP WAY,,47.6246719,-122.12178,19,,,
66760,,164TH AVE NE & NE 12TH ST,,47.6204109,-122.121803,19,,,
66770,,164TH AVE NE & NE 11TH ST,,47.6199226,-122.121803,19,,,
66780,,164TH AVE NE & NE 8TH ST,,47.6166229,-122.12178,19,,,
66790,,164TH AVE NE & NE 6TH ST,,47.6149368,-122.121681,19,,,
66800,,164TH AVE NE & NE 4TH ST,,47.6130791,-122.121574,19,,,
66810,,164TH AVE NE & NE 2ND ST,,47.6116638,-122.12149,19,,,
66820,,164TH AVE SE & MAIN ST,,47.6095657,-122.121399,19,,,
66830,,164TH AVE SE & SE 2ND ST,,47.6074905,-122.121407,19,,,
66840,,164TH AVE SE & LK HILLS BLVD,,47.6055527,-122.121422,19,,,
66850,,164TH AVE SE & SE 7TH ST,,47.6037979,-122.12159,19,,,
66860,,164TH AVE SE & SE 9TH ST,,47.6021309,-122.12133,19,,,
66870,,164TH AVE SE & SE 12TH ST,,47.5993996,-122.121078,19,,,
66871,,NE 31ST ST & 156TH AVE NE,,47.6382065,-122.134468,19,,,
66880,,SE 14TH ST & 165TH AVE SE,,47.5980721,-122.119812,19,,,
66890,,SE 14TH ST & 168TH AVE SE,,47.598011,-122.116791,19,,,
66900,,168TH AVE SE & SE 16TH ST,,47.5962791,-122.115822,19,,,
66910,,168TH AVE SE & SE 19TH ST,,47.593235,-122.115837,19,,,
66930,,168TH AVE SE & SE 23RD PL,,47.5893402,-122.116722,19,,,
66940,,SE 26TH ST & 169TH AVE SE,,47.587532,-122.115082,19,,,
66950,,SE 26TH ST & 170TH AVE SE,,47.5865555,-122.113472,19,,,
66960,,SE 26TH ST & 171ST AVE SE,,47.5863419,-122.112556,19,,,
66970,,WEST LK SAMMAMISH PKWY SE & SE 26TH ST,,47.5858459,-122.111504,19,,,
66980,,WEST LK SAMMAMISH PKWY SE & SE 31ST PL,,47.5817986,-122.112419,19,,,
66990,,SE 34TH ST & 168TH PL SE,,47.5795784,-122.115288,19,,,
67000,,SE 34TH ST & 166TH AVE SE,,47.5798759,-122.118553,19,,,
67010,,SE 34TH ST & 163RD PL SE,,47.5792465,-122.121574,19,,,
67012,,SE 35TH PL & SE EASTGATE WAY,,47.5786438,-122.128555,19,,,
67013,,I-90 EXPWY RAMP & 141ST PL SE,,47.579422,-122.15139,19,,,
67014,,EASTGATE P&R,,47.5804787,-122.152496,19,,,
67015,,EASTGATE P&R,,47.5804749,-122.152092,19,,,
67018,,SE 35TH PL & SE EASTGATE WAY,,47.5786285,-122.128265,19,,,
67019,,I-90 EXPWY RAMP & 142ND PL SE,,47.5795784,-122.151337,19,,,
67020,,SE 34TH ST & 163RD PL SE,,47.5791359,-122.121437,19,,,
67022,,142ND PL SE & SE 32ND ST,,47.5819893,-122.151146,19,,,
67024,,SE 36TH ST & 136TH PL SE,,47.5789032,-122.15332,19,,,
67025,,SE 36TH ST & 146TH AVE SE,,47.5786514,-122.149368,19,,,
67026,,SE 36TH ST & 136TH PL SE,,47.5792694,-122.15522,19,,,
67028,,SE 36TH ST & 132ND AVE SE,,47.5795784,-122.16153,19,,,
67030,,SE 34TH ST & 166TH PL SE,,47.5797653,-122.117897,19,,,
67032,,SE 36TH ST & 132ND AVE SE,,47.5796471,-122.16407,19,,,
67033,,SE 26TH ST & 137TH AVE SE,,47.5873756,-122.158035,19,,,
67034,,SE 36TH ST & FACTORIA BLVD SE,,47.5796738,-122.168541,19,,,
67035,,SE 26TH ST & RICHARDS RD,,47.5874176,-122.165054,19,,,
67036,,128TH AVE SE & SE 27TH ST,,47.5862274,-122.169479,19,,,
67038,,123RD AVE SE & SE 17TH PL,,47.5963516,-122.175385,19,,,
67040,,SE 34TH ST & 168TH PL SE,,47.5794945,-122.115715,19,,,
67045,,121ST AVE SE & SE 10TH ST,,47.6015358,-122.178383,19,,,
67050,,WEST LK SAMMAMISH PKWY SE & SE 31ST PL,,47.5819778,-122.112137,19,,,
67060,,WEST LK SAMMAMISH PKWY SE & SE 26TH PL,,47.5861855,-122.111328,19,,,
67070,,SE 26TH ST & 171ST AVE SE,,47.5864716,-122.112488,19,,,
67080,,SE 26TH ST & 170TH AVE SE,,47.58675,-122.113678,19,,,
67090,,SE 26TH ST & 169TH AVE SE,,47.5884933,-122.116051,19,,,
67100,,168TH AVE SE & SE 23RD PL,,47.5894661,-122.116219,19,,,
67110,,168TH AVE SE & SE 21ST PL,,47.5920448,-122.115631,19,,,
67120,,168TH AVE SE & SE 19TH ST,,47.5935822,-122.115631,19,,,
